session_id,session_start_time,cluster,treat,cov_submit_time,age,gender,practice,reading,item_id1,knowledge1,item_id2,knowledge2,item_id3,knowledge3,item_id4,knowledge4
0B7865D5822D8D87F75FB5BAFB2102DD,1595626139577,1,false,1595626165976,13,NA,4,5,3,5,4,1,5,2,6,1
8080E2E61BA04074F123155741AC29DC,1595626234376,2,false,1595626296883,45,M,2,3,8,2,5,2,7,2,4,3
BE7C20F73505C684DB5613B8702BD522,1595639261443,1,false,1595639299881,28,F,2,2,3,1,7,1,2,1,5,1
BE7C20F73505C684DB5613B8702BD522,1595639261443,1,false,1595639299910,28,F,2,2,3,1,7,1,2,1,5,1
BE7C20F73505C684DB5613B8702BD522,1595639878343,2,true,1595639910192,28,F,2,2,5,1,2,1,7,1,1,1
064D45ABDE08A0D54486ED13C1D68AF8,1595642845878,3,false,1595642887380,16,F,5,4,6,1,8,3,3,3,2,1
92420B60CDC088006B4EBD6A987EBC96,1595650651128,4,true,1595650687379,12,F,3,3,6,1,1,1,8,1,2,1
6B9C07A476F694235718EA94C6508183,1595650670275,4,true,1595650699989,16,M,3,3,4,1,5,3,1,2,2,1
026F03732816BFE12524B8A75EA7A4DA,1595650766080,4,true,1595650810867,47,F,2,3,4,1,6,1,5,2,1,3
8D2E34E1E483BFF773B251ECFDE62B5F,1595651288975,5,true,1595651320776,47,F,1,2,3,1,5,2,1,2,2,1
6D0E64A00A5BD8CC6A5D6CD8C2CBE706,1595659646250,6,true,1595659716951,53,F,3,3,7,3,8,3,1,3,5,3
E0B3DE69E295D6023FC75F2A3C030214,1595687940578,7,false,1595688008997,47,M,2,3,7,3,3,1,6,2,5,3
2325C32B409A77D94A567A30AC10CA5E,1595696970839,8,false,1595697145876,65,M,3,4,4,1,8,3,1,1,2,1
0CE6A77BCA5FA1E44462BC2AFA9565C4,1595697971749,9,true,1595698035477,50,F,3,3,7,1,4,1,3,1,8,2
FAB03D46DC91AF5B99DE426D9AEA0EC0,1595698122083,9,true,1595698147259,15,M,3,2,6,1,3,1,1,2,4,1
6745ECD9C1277AEA26BDA95E665CAF21,1595698275185,9,true,1595698317025,17,M,2,4,1,1,5,4,7,2,2,1
1928EFED669DCDA43C1BD334080236A2,1595698296672,9,true,1595698318756,14,F,3,5,5,2,1,1,6,1,8,1
82082E652B3B73A8A1B6621AAF8A620C,1595698402035,10,true,1595698466269,14,M,4,3,4,1,6,1,3,4,8,3
1EF5DC7FA19F58EA6820FE615253529D,1595698673622,10,true,1595698745421,53,M,3,3,7,3,4,1,8,4,2,2
0C08D0A3C52196BC7C9A1E9B4D545182,1595699394278,11,true,1595699487705,76,F,3,4,7,3,8,3,4,2,2,1
63E05BB4DD40D44D7DE5CFFA3153AED5,1595699808520,12,true,1595699847393,14,F,3,4,3,2,7,3,5,3,4,3
CE512BA5CB3C39A5C0678B192136A781,1595700315354,13,true,1595700344597,,M,1,4,2,1,6,1,4,1,7,3
2ADDBD8896E5C047C98C535DD7CDF999,1595700511156,13,true,1595700567398,17,F,4,3,5,3,4,2,8,4,3,1
4AF077B5D24EDDF4E4D49A12BB9C6177,1595702737384,14,false,1595702761675,41,F,1,2,6,1,2,1,7,1,8,1
DD33C6F35C1E827B3F9AD06788BCA9BB,1595706607168,15,true,1595706646254,63,F,2,4,4,1,7,2,6,1,2,1
AD26198E671DF62832C20769605961DE,1595706952773,16,false,1595706987093,663,M,4,5,5,4,2,3,6,4,3,2
12502A72D2AADABC31A7258130EB7991,1595706956080,16,false,1595706992453,15,F,4,3,1,4,3,3,6,1,4,1
3CFC9161282449FC7BD90DC05F901DAB,1595707244401,17,false,1595707301089,76,F,3,4,5,3,1,2,4,1,2,1
49BB81A74413924A03557B74E29F2806,1595707531528,17,false,1595707567780,14,M,2,3,4,3,7,1,5,3,2,1
E6D2060F87995EAD1DF0B3840497F9F0,1595707891121,18,false,1595707928167,49,F,1,4,8,2,6,1,1,1,4,1
04C1F3054F87E75D4D363A9951111D4A,1595708103522,18,false,1595708147652,25,F,1,3,7,1,3,1,2,1,4,1
3485ED0DBAF733278A3BFB83DA653F04,1595708149169,18,false,1595708192486,53,F,3,5,6,1,3,2,8,1,1,1
33F2D6B80CBE26239D918EAB7CEDB91F,1595708686497,19,false,1595708719946,63,F,3,4,2,1,8,1,7,2,3,1
E2459677B12BAE2E408B762EF2B0CC8E,1595709285277,20,false,1595709360272,51,M,2,3,1,1,8,3,3,2,2,2
475194FA6304F78932F5284E1F640486,1595709455294,20,false,1595709498551,66,F,2,4,8,2,3,1,4,3,2,1
DEED4502346D7A3E75B75DAEF15FF121,1595710651388,21,true,1595710704530,59,M,2,4,4,1,8,2,3,1,2,1
38E6A2DFF102F9455E176F258167C4FE,1595711627611,22,true,1595711670002,57,F,3,3,1,2,6,1,3,2,5,2
E372B1841FD94EEBECA6507EBC14DDC6,1595711798157,22,true,1595711826345,47,F,1,2,5,1,3,1,6,1,7,1
4E2735ED90C9046575C677CA36330E05,1595711970985,23,false,1595712004270,71,F,2,4,6,1,5,2,4,1,3,1
1C4DBB981E2F0A16B3B9FBFAB5E70B62,1595712444150,24,true,1595712490478,73,F,2,5,1,2,4,2,3,3,5,3
1476FF85858326B5E0EFA45AA6317ADE,1595713375021,25,false,1595713397874,49,F,1,4,4,1,3,1,5,1,6,1
5A7B6CA83415D68180997B9530C3B322,1595713690673,26,true,1595713739134,54,F,3,4,5,2,7,2,4,1,6,1
905FE7667B2194324F94799B10373867,1595713814755,26,true,1595713849822,63,other,3,4,8,2,6,1,4,1,7,1
5A7B6CA83415D68180997B9530C3B322,1595713929974,26,true,1595713967677,54,F,2,4,6,1,7,2,4,1,1,1
8FF1F9936902E8DD30C5476B2FF197B1,1595714168934,27,true,1595714272677,55,F,2,4,6,1,8,2,7,2,5,2
32CBD7078FE07E4B8047646C22B16649,1595715973006,28,false,1595716034744,78,F,3,3,5,3,2,1,1,3,8,3
F02C166B557695209A66291BD8C7C856,1595716249083,28,false,1595716279368,20,M,1,2,2,1,3,2,5,1,1,1
641A7506A0232BFB9A7C33798CE945F4,1595716887575,29,true,1595716931409,21,M,3,3,8,2,7,2,2,1,1,2
E5C43910A4B11875601845FD57410DEF,1595718106113,30,true,1595718167083,70,F,1,5,8,2,7,2,6,1,2,1
A3FC53816D85398412B197BA7049F0D2,1595718902932,31,true,1595718958854,16,F,2,2,7,3,6,2,3,1,4,1
E81DC439415506E8E3549FA62B2F413B,1595719193277,31,true,1595719212776,13,M,2,2,6,2,2,1,1,2,8,3
